,URL,Dataset,Tag,Sum Response Size,Avg Response Size,Count
11,https://cdn.sanity.io/images/ocl5w36p/prod5/b88b78a2bae1ee83a7a8f384d6252bc04a53f7cf-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,40 GB,141950.7,"283,832"
12,https://cdn.sanity.io/images/ocl5w36p/prod5/fb8981712a2f28bd90ebfee697723d79822a6159-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,40 GB,116899.1,"341,529"
13,https://cdn.sanity.io/images/ocl5w36p/prod5/cd14138451ebecd216044b51c629566f3ad12377-1280x1760.jpg?w=640&auto=format,prod5,,39 GB,28797.6,"1,353,592"
14,https://cdn.sanity.io/images/ocl5w36p/prod5/6b69b15bf8ad063e3ee0321a566cf0d25079f20d-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,37 GB,108786.7,"342,052"
15,https://cdn.sanity.io/images/ocl5w36p/prod5/c0278a81582cd47e4c4e04d94295a88caef8e9df-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,36 GB,62560.6,"569,265"
16,https://cdn.sanity.io/images/ocl5w36p/prod5/bda4a0aef48eed120afb4368914b236a350f4627-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,35 GB,77116.,"458,318"
17,https://cdn.sanity.io/images/ocl5w36p/prod5/4d7fa4f3eaef52b48890a52528a77391f8d9b300-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,35 GB,125758.6,"279,415"
18,https://cdn.sanity.io/images/ocl5w36p/prod5/27fce7cef586e6621eaa4ebadd49ea6378ec8d20-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,34 GB,99680.3,"340,175"
19,https://cdn.sanity.io/images/ocl5w36p/prod5/4a5639dee6c2560a3b7819bef5c19b43625624d9-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,33 GB,72872.8,"458,609"
20,https://ocl5w36p.apicdn.sanity.io/v2022-10-01/data/query/prod5?query=*%5B_type%20%3D%3D%20%22offerPackages%22%20%26%26%20brandName%20%3D%3D%22Ama%22%20%26%26%20thumbnail!%3D%20null%20%26%26%20%20memberSpecific%3D%3Dtrue%20%20%5D%20%7C%20score(memberSpecific)%20%7C%20order(_score%20desc)%20%7C%20order(coalesce(score%2C%20-1)%20desc)%20%7B%20title%2Cscore%2Cidentifier%2CexpandTnC%2Ctnc%2C%20hideBookNowWidget%2CvalidityDates%2ClengthOfStay%2Cdescription%2CsubTitle%2CpromoCode%2CrateCode%2CrequireSingleRateTab%2CpackageType%2CmemberSpecific%2CmemberType%2CvalidThroughYear%2C%20%22largeImage%22%3A%20thumbnail%5B0%5D.imageAsset.largeImage%5B0%5D%2C%22image%22%3A%20thumbnail%5B0%5D.imageAsset.image%5B0%5D%2C%22participatingHotels%22%3A%20hotels%5B%5D.participatingHotels%5B%5D%20%7C%20order(hotelName%20asc)%20%7C%20order(coalesce(score%2C%20-1)%20desc)%20-%3E%7BhotelName%2Cscore%2ChotelId%2CbrandName%2Cidentifier%2ChotelAddress-%3E%7Bcity%2Ccountry%2Cpincode%2Cstate%7D%2CsearchTaxonomies-%3E%7BhotelType%2CsynxisHotelId%7D%7D%2C%22packages%22%3Aselect(%0A%20%20%20%20inclusions%5B0%5D.basicInfo.title%20!%3D%20null%20%3D%3E%20inclusions%5B%5D%7B%22title%22%3AbasicInfo.title%20%2CinclusionIdentifier%2CbasicInfo%7D%2C%0A%20%20%20%20inclusions%5B0%5D.basicInfo.title%20%3D%3D%20null%20%3D%3Ehotels%5B%5D.inclusions%5B%5D%7B%22title%22%3AbasicInfo.title%20%2CinclusionIdentifier%2CbasicInfo%7D%20%0A%20%20%20)%7D&tag=ama_cug_desk,prod5,ama_cug_desk,32 GB,13727.7,"2,329,080"
21,https://cdn.sanity.io/images/ocl5w36p/prod5/018299820034276c126619240556aece19996965-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,32 GB,76449.1,"415,589"
22,https://cdn.sanity.io/images/ocl5w36p/prod5/50e07799758683e3076ce5aecc66effaf2603fe5-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,31 GB,67668.7,"458,378"
23,https://cdn.sanity.io/images/ocl5w36p/prod5/82b298187926f621c74df75c911216365310ec59-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,31 GB,90459.6,"339,501"
24,https://cdn.sanity.io/images/ocl5w36p/prod5/24f15fbaaac70d6f8bad8b1cecd7f993c2c30155-135x86.png,prod5,,30 GB,25303.6,"1,171,523"
25,https://cdn.sanity.io/images/ocl5w36p/prod5/bed60c6a3b046f62bf71ce77a400e6ea84f18d62-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,29 GB,63571.,"458,049"
26,https://cdn.sanity.io/images/ocl5w36p/prod5/7fa8ee6aa55c2f3930161639c14942883f1854bb-1280x1760.jpg?w=480&auto=format&dpr=2,prod5,,27 GB,64368.2,"414,179"
27,https://cdn.sanity.io/images/ocl5w36p/prod5/f3228f0137adedad097ef39f57b2c89348cb1a8b-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,27 GB,46958.6,"566,724"
28,https://cdn.sanity.io/images/ocl5w36p/prod5/154e2e66fce1e688c6a7ece24a55c90f82991b4b-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,26 GB,57576.3,"457,627"
29,https://ocl5w36p.apicdn.sanity.io/v2022-10-01/data/query/prod5?query=*%5B_type%20%3D%3D%20%22offerPackages%22%20%26%26%20brandName%20%3D%3D%22Ama%22%20%26%26%20thumbnail!%3D%20null%20%26%26%20%20memberSpecific!%3Dtrue%20%20%5D%20%7C%20score(memberSpecific)%20%7C%20order(_score%20desc)%20%7C%20order(coalesce(score%2C%20-1)%20desc)%20%7B%20title%2Cscore%2Cidentifier%2CexpandTnC%2Ctnc%2C%20hideBookNowWidget%2CvalidityDates%2ClengthOfStay%2Cdescription%2CsubTitle%2CpromoCode%2CrateCode%2CrequireSingleRateTab%2CpackageType%2CmemberSpecific%2CmemberType%2CvalidThroughYear%2C%20%22largeImage%22%3A%20thumbnail%5B0%5D.imageAsset.largeImage%5B0%5D%2C%22image%22%3A%20thumbnail%5B0%5D.imageAsset.image%5B0%5D%2C%22participatingHotels%22%3A%20hotels%5B%5D.participatingHotels%5B%5D%20%7C%20order(hotelName%20asc)%20%7C%20order(coalesce(score%2C%20-1)%20desc)%20-%3E%7BhotelName%2Cscore%2ChotelId%2CbrandName%2Cidentifier%2ChotelAddress-%3E%7Bcity%2Ccountry%2Cpincode%2Cstate%7D%2CsearchTaxonomies-%3E%7BhotelType%2CsynxisHotelId%7D%7D%2C%22packages%22%3Aselect(%0A%20%20%20%20inclusions%5B0%5D.basicInfo.title%20!%3D%20null%20%3D%3E%20inclusions%5B%5D%7B%22title%22%3AbasicInfo.title%20%2CinclusionIdentifier%2CbasicInfo%7D%2C%0A%20%20%20%20inclusions%5B0%5D.basicInfo.title%20%3D%3D%20null%20%3D%3Ehotels%5B%5D.inclusions%5B%5D%7B%22title%22%3AbasicInfo.title%20%2CinclusionIdentifier%2CbasicInfo%7D%20%0A%20%20%20)%7D&tag=ama_cug_desk,prod5,ama_cug_desk,26 GB,11127.3,"2,340,266"
30,https://cdn.sanity.io/images/ocl5w36p/prod5/94346b2b5aa7e5e4097a7782f8ed6d4809f10852-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,23 GB,145246.4,"159,726"
31,https://cdn.sanity.io/images/ocl5w36p/prod5/9a7b5d9dffd333da710229c0a93f4c1874978135-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,22 GB,140356.1,"159,798"
32,https://cdn.sanity.io/images/ocl5w36p/prod5/27951ea65e3af09b91d9bc80a4bb67c88a825f42-3840x1860.jpg?w=480&auto=format&dpr=2,prod5,,19 GB,41216.7,"455,430"
33,https://cdn.sanity.io/images/ocl5w36p/prod5/01dbd5d764956dfde6b535266217a8c398a684f7-1280x1570.jpg?w=640&fit=max&auto=format&dpr=2,prod5,,19 GB,116605.2,"159,457"
34,https://cdn.sanity.io/images/ocl5w36p/prod5/3e02bad076057556e0fdf9a9ef3af18082467ab3-1600x1195.png,prod5,,18 GB,2.89 MB,"6,143"
35,https://cdn.sanity.io/images/ocl5w36p/prod5/2a6e27a26102dd15b64bcec302a11015b327319f-1920x4250.svg,prod5,,17 GB,1.78 MB,"9,586"
36,https://cdn.sanity.io/images/ocl5w36p/prod5/144af9a4431ae5bc3057335d94e2eb414db1506a-5155x3527.jpg,prod5,,17 GB,4.06 MB,"4,104"
37,https://cdn.sanity.io/images/ocl5w36p/prod5/12f92b4e97677cb5b514e81581fb37802ea1e889-1280x1742.jpg?w=480&auto=format&dpr=2,prod5,,15 GB,167190.5,"88,285"
38,https://cdn.sanity.io/files/ocl5w36p/production/e6ca98d82505c0a15f1214aaaa878eb79bc4e150.pdf,production,,15 GB,8.79 MB,"1,667"
